Image Name,Label,Confidence
img1,no_nest,0.81
img2,no_nest,0.78
img3,no_nest,0.77
img4,no_nest,0.82
img5,no_nest,0.99
img6,no_nest,0.67
img7,no_nest,0.61
img8,no_nest,0.66
img9,no_nest,0.83
img10,no_nest,0.71
img11,no_nest,0.88
img12,no_nest,0.95
img13,no_nest,0.91
img14,no_nest,0.81
img15,no_nest,0.93
img16,no_nest,0.94
img17,no_nest,0.96
img18,no_nest,0.66
img19,no_nest,0.73
img20,no_nest,0.92
img21,no_nest,0.98
img22,no_nest,0.82
img23,no_nest,0.74
img24,no_nest,0.35
img25,no_nest,0.67
img26,no_nest,0.73
img27,no_nest,0.84
img28,no_nest,0.91
img29,no_nest,0.83
img30,no_nest,0.77
img31,no_nest,0.93
img32,no_nest,0.93
img33,no_nest,0.94
img34,no_nest,0.79
img35,no_nest,0.66
img36,no_nest,0.88
img37,no_nest,0.71
img38,no_nest,0.82
img39,no_nest,0.99
img40,no_nest,0.81
img41,no_nest,0.79
img42,no_nest,0.73
img43,no_nest,0.88
img44,no_nest,0.83
img45,no_nest,0.99
img46,no_nest,0.98
img47,no_nest,0.92
img48,no_nest,0.84
img49,no_nest,0.79
img50,no_nest,0.81
img51,no_nest,0.82
img52,no_nest,0.93
img53,no_nest,0.73
img54,no_nest,0.99
img55,no_nest,0.72
img56,no_nest,0.72
img57,no_nest,0.86
img58,no_nest,0.79
img59,no_nest,0.8
img60,no_nest,0.88
img61,no_nest,0.99
img62,no_nest,0.91
img63,no_nest,0.85
img64,no_nest,0.99
img65,no_nest,0.97
img66,no_nest,0.98
img67,no_nest,0.87
img68,no_nest,0.85
img69,no_nest,0.88
img70,no_nest,0.9
img71,no_nest,0.93
img72,no_nest,0.78
img73,no_nest,0.9
img74,no_nest,0.91
img75,no_nest,0.92
img76,no_nest,0.98
img77,no_nest,0.71
img78,no_nest,0.82
img79,no_nest,0.93
img80,no_nest,0.99
img81,no_nest,0.84
img82,no_nest,0.92
img83,no_nest,0.8
img84,no_nest,0.79
img85,no_nest,0.85
img86,nest,0.89
img87,no_nest,0.85
img88,no_nest,0.99
img89,nest,0.97
img90,nest,0.98
img91,nest,0.71
img92,no_nest,0.89
img93,no_nest,0.91
img94,no_nest,0.81
img95,no_nest,0.66
img96,no_nest,0.73
img97,no_nest,0.92
img98,no_nest,0.98
img99,no_nest,0.82
img100,no_nest,0.74
img101,no_nest,0.88
img102,no_nest,0.91
img103,nest,0.77
img104,nest,0.91
